rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
189,1:21.98,,Hobson's Choice,,INT,2f1,"Lawrence, KS (USA)",19 APR 2008,1144,4x200-metres-relay,relays,male,senior
189,1:21.98,,Arkansas,,INT,3f2,"Austin, TX (USA)",02 APR 2016,1144,4x200-metres-relay,relays,male,senior
189,1:21.98,,Shandong,,CHN,1,Chongqing (CHN),25 JUN 2021,1144,4x200-metres-relay,relays,male,senior
192,1:21.99,,Arkansas,,USA,1,"Fayetteville, AR (USA)",25 MAR 2017,1144,4x200-metres-relay,relays,male,senior
192,1:21.99,,Star Athletics B,,INT,2,"PVAMU Track Stadium, Prairie View, TX (USA)",27 MAR 2021,1144,4x200-metres-relay,relays,male,senior
194,1:22.00,,Florida,,USA,3f1,"Philadelphia, PA (USA)",30 APR 2011,1144,4x200-metres-relay,relays,male,senior
194,1:22.00,,Arkansas,,INT,3f2,"Austin, TX (USA)",31 MAR 2018,1144,4x200-metres-relay,relays,male,senior
196,1:22.01,,Baylor,,USA,1f3,"Des Moines, IA (USA)",24 APR 2009,1143,4x200-metres-relay,relays,male,senior
196,1:22.01,,Jamaica,,JAM,2h1,"T. Robinson Stadium, Nassau (BAH)",23 APR 2017,1143,4x200-metres-relay,relays,male,senior
196,1:22.01,,South Carolina,,INT,3,"Philadelphia, PA (USA)",29 APR 2017,1143,4x200-metres-relay,relays,male,senior
196,1:22.01,,Sichuan D,,CHN,1,"Sichuan Xipu Training Base, Chengdu (CHN)",24 JUL 2020,1143,4x200-metres-relay,relays,male,senior
200,1:22.02,,Baylor,,USA,1f2,"Austin, TX (USA)",05 APR 2008,1143,4x200-metres-relay,relays,male,senior
201,1:22.03,,Team U.S.A.,,USA,3f1,"Lawrence, KS (USA)",19 APR 2008,1143,4x200-metres-relay,relays,male,senior
201,1:22.03,,Texas A&M,,INT,1h4,"Philadelphia, PA (USA)",24 APR 2009,1143,4x200-metres-relay,relays,male,senior
203,1:22.04,,Texas A&M,,INT,1h3,"Philadelphia, PA (USA)",29 APR 2011,1142,4x200-metres-relay,relays,male,senior
203,1:22.04,,Houston,,INT,1,"Philadelphia, PA (USA)",26 APR 2019,1142,4x200-metres-relay,relays,male,senior
