rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
135,1:54.45,,Poland U18,,POL,3h3,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,male,u18
135,1:54.45,,Greece U18,,GRE,2h1,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,male,u18
138,1:54.47,,Jamaica U18,,JAM,3h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,male,u18
138,1:54.47,,Romania U18,,ROU,2h1,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,male,u18
140,1:54.49,,Australia U18,,AUS,3h1,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,male,u18
140,1:54.49,,Portugal U18,,POR,3h1,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,male,u18
140,1:54.49,,Slovenia U18,,SLO,2h3,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,male,u18
143,1:54.52,,Japan U18,,JPN,4h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,male,u18
144,1:54.55,,United States U18,,USA,1h3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",17 JUL 1999,,medley-relay,relays,male,u18
145,1:54.56,,Greece U18,,GRE,3h1,Debrecen (HUN),14 JUL 2001,,medley-relay,relays,male,u18
145,1:54.56,,Spain U18,,ESP,6f1,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,male,u18
147,1:54.59,,Chinese Taipei U18,,TPE,6f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,male,u18
148,1:54.60,,Greece U18,,GRE,7f1,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,male,u18
148,1:54.60,,Russia U18,,RUS,1h4,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,male,u18
150,1:54.61,,Spain U18,,ESP,6f1,Ostrava (CZE),15 JUL 2007,,medley-relay,relays,male,u18
151,1:54.64,,Puerto Rico U18,,PUR,3h3,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,male,u18
152,1:54.68,,Brazil U18,,BRA,2h1,Lille (FRA),09 JUL 2011,,medley-relay,relays,male,u18
152,1:54.68,,Spain U18,,ESP,3,Baku (AZE),27 JUL 2019,,medley-relay,relays,male,u18
152,1:54.68,,Sri Lanka U18,,SRI,1h2,"Prince Nayef Sports City, Qatif (KSA)",17 APR 2025,,medley-relay,relays,male,u18
155,1:54.71,,Czech Republic U18,,CZE,1,Miskolc (HUN),16 JUN 2017,,medley-relay,relays,male,u18
156,1:54.75,,United States U18,,USA,2h1,Sherbrooke (CAN),12 JUL 2003,,medley-relay,relays,male,u18
156,1:54.75,,Ukraine U18,,UKR,1h3,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,male,u18
158,1:54.77,,Romania U18,,ROU,4,"Atletski stadion Poljane, Maribor (SLO)",29 JUL 2023,,medley-relay,relays,male,u18
159,1:54.78,,Slovak Republic U18,,SVK,3h1,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,male,u18
160,1:54.79,,Ukraine U18,,UKR,1h1,"New District Stadium, Tbilisi (GEO)",16 JUL 2016,,medley-relay,relays,male,u18
161,1:54.81,,Italy U18,,ITA,4,Baku (AZE),27 JUL 2019,,medley-relay,relays,male,u18
162,1:54.82,,United States U18,,USA,2h4,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,male,u18
163,1:54.85,,Nigeria U18,,NGR,3h4,Lille (FRA),09 JUL 2011,,medley-relay,relays,male,u18
164,1:54.88,,Germany U18,,GER,3h3,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,male,u18
165,1:54.90,,Canada U18,,CAN,3h4,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,male,u18
166,1:54.92,,Spain U18,,ESP,2h2,Debrecen (HUN),14 JUL 2001,,medley-relay,relays,male,u18
