rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
94,2:58.69,,Jamaica,,JAM,3h2,"National Stadium, Beijing (CHN)",2015-08-29,1218,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.69,CHN,,2015
95,2:58.71,,United States,,USA,1,"Luzhniki Stadion, Moskva (RUS)",2013-08-16,1217,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.71,RUS,,2013
95,2:58.71,,United States Blue,,USA,1,"Philadelphia, PA (USA)",2000-04-29,1217,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.71,USA,,2000
95,2:58.71,,Great Britain & NI,,GBR,3,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-27,1217,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.71,HUN,,2023
98,2:58.72,,United States,,USA,1h2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-21,1217,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.72,GER,,1993
98,2:58.72,,Belgium,,BEL,3,"Hayward Field, Eugene, OR (USA)",2022-07-24,1217,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.72,USA,,2022
100,2:58.76,,Jamaica,,JAM,6,"National Stadium, Tokyo (JPN)",2021-08-07,1217,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.76,JPN,,2021
101,2:58.78,,Belgium,,BEL,3,"Khalifa International Stadium, Doha (QAT)",2019-10-06,1216,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.78,QAT,,2019
101,2:58.78,,Jamaica,,JAM,2,"Olympic Stadium, Sydney (AUS)",2000-09-30,1216,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.78,AUS,,2000
103,2:58.79,,Great Britain & NI,,GBR,1,"Letzigrund, Zürich (SUI)",2014-08-17,1216,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.79,SUI,,2014
104,2:58.80,,France,,FRA,4f1,"Tianhe Sports Center, Guangzhou (CHN)",2025-05-11,1216,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.8,CHN,,2025
105,2:58.81,,Italy,,ITA,7,"National Stadium, Tokyo (JPN)",2021-08-07,1216,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.81,JPN,,2021
105,2:58.81,,Great Britain & NI,,GBR,3,"National Stadium, Beijing (CHN)",2008-08-23,1216,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.81,CHN,,2008
105,2:58.81,,South Africa,,RSA,1h1,"National Stadium, Tokyo (JPN)",2025-09-20,1216,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.81,JPN,,2025
108,2:58.82,,Great Britain & NI,,GBR,4,"Olympiastadion, Helsinki (FIN)",2005-08-14,1216,4x400-metres-relay,relays,male,senior,4x400-metres-relay,track,178.82,FIN,,2005
