rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
68,41.83,,United States,,USA,2,"Letzigrund, Zürich (SUI)",03 SEP 2015,1228,4x100-metres-relay,relays,female,senior
71,41.84,,German Democratic Republic,,GDR,1,"Neckarstadion, Stuttgart (GER)",31 AUG 1986,1228,4x100-metres-relay,relays,female,senior
71,41.84,,Jamaica,,JAM,1h1,"National Stadium, Beijing (CHN)",29 AUG 2015,1228,4x100-metres-relay,relays,female,senior
71,41.84,,United States,,USA,1h1,"Olympic Stadium, London (GBR)",12 AUG 2017,1228,4x100-metres-relay,relays,female,senior
74,41.85,,German Democratic Republic,,GDR,1,Potsdam (GDR),13 JUL 1980,1228,4x100-metres-relay,relays,female,senior
74,41.85,,German Democratic Republic,,GDR,1,Zürich (SUI),22 AUG 1984,1228,4x100-metres-relay,relays,female,senior
74,41.85,,Jamaica,,JAM,1,"Letzigrund, Zürich (SUI)",24 AUG 2017,1228,4x100-metres-relay,relays,female,senior
74,41.85,,Great Britain & NI,,GBR,2,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1228,4x100-metres-relay,relays,female,senior
74,41.85,,United States,,USA,1f1,"The Bahamas National Stadium, Nassau (BAH)",05 MAY 2024,1228,4x100-metres-relay,relays,female,senior
74,41.85,,Great Britain & NI,,GBR,2,"Stade de France, Paris (FRA)",09 AUG 2024,1228,4x100-metres-relay,relays,female,senior
80,41.86,,Great Britain & NI,,GBR,2,"Letzigrund, Zürich (SUI)",24 AUG 2017,1227,4x100-metres-relay,relays,female,senior
80,41.86,,Germany,,GER,2h2,"National Stadium, Tokyo (JPN)",20 SEP 2025,1227,4x100-metres-relay,relays,female,senior
82,41.87,,German Democratic Republic,,GDR,1,Gateshead (GBR),05 AUG 1989,1227,4x100-metres-relay,relays,female,senior
82,41.87,,Jamaica,,JAM,1h1,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1227,4x100-metres-relay,relays,female,senior
84,41.88,,Jamaica,,JAM,1h1,"Olympiastadion, Berlin (GER)",22 AUG 2009,1226,4x100-metres-relay,relays,female,senior
84,41.88,,United States,,USA,1f1,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1226,4x100-metres-relay,relays,female,senior
84,41.88,,Great Britain & NI,,GBR,1,"Olympiastadion, Berlin (GER)",12 AUG 2018,1226,4x100-metres-relay,relays,female,senior
84,41.88,,Great Britain & NI,,GBR,3,"National Stadium, Tokyo (JPN)",06 AUG 2021,1226,4x100-metres-relay,relays,female,senior
84,41.88,,Great Britain & NI,,GBR,3h2,"National Stadium, Tokyo (JPN)",20 SEP 2025,1226,4x100-metres-relay,relays,female,senior
89,41.89,,Texas,,INT,1,"John Jacobs Track Complex, Norman, OK (USA)",14 MAY 2023,1226,4x100-metres-relay,relays,female,senior
90,41.90,,United States,,USA,2h1,"National Stadium, Tokyo (JPN)",05 AUG 2021,1225,4x100-metres-relay,relays,female,senior
90,41.90,,Côte d’Ivoire,,CIV,2h2,"Nemzeti Atlétikai Központ, Budapest (HUN)",25 AUG 2023,1225,4x100-metres-relay,relays,female,senior
92,41.91,,Germany,,GER,1h2,"National Stadium, Tokyo (JPN)",31 AUG 1991,1225,4x100-metres-relay,relays,female,senior
92,41.91,,Americas,,INT,1,"CM, Madrid (ESP)",20 SEP 2002,1225,4x100-metres-relay,relays,female,senior
92,41.91,,Great Britain & NI,,GBR,1,"Stadio Olimpico, Roma (ITA)",12 JUN 2024,1225,4x100-metres-relay,relays,female,senior
95,41.92,,Bahamas,,BAH,1,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1224,4x100-metres-relay,relays,female,senior
96,41.93,,Great Britain & NI,,GBR,2h1,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1224,4x100-metres-relay,relays,female,senior
96,41.93,,Great Britain & NI,,GBR,2h1,"Olympic Stadium, London (GBR)",12 AUG 2017,1224,4x100-metres-relay,relays,female,senior
98,41.94,,German Democratic Republic,,GDR,1,Cottbus (GER),17 JUL 1980,1224,4x100-metres-relay,relays,female,senior
98,41.94,,German Democratic Republic,,GDR,1,Praha (TCH),27 JUN 1987,1224,4x100-metres-relay,relays,female,senior
98,41.94,,Jamaica,,JAM,1,"National Stadium, Tokyo (JPN)",01 SEP 1991,1224,4x100-metres-relay,relays,female,senior
98,41.94,,Jamaica,,JAM,3,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1224,4x100-metres-relay,relays,female,senior
98,41.94,,United States,,USA,1h3,"DS, Daegu (KOR)",04 SEP 2011,1224,4x100-metres-relay,relays,female,senior
98,41.94,,USA Red,,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1224,4x100-metres-relay,relays,female,senior
98,41.94,,United States,,USA,1h1,"Stade de France, Paris (FRA)",08 AUG 2024,1224,4x100-metres-relay,relays,female,senior
105,41.95,,German Democratic Republic,,GDR,2,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1223,4x100-metres-relay,relays,female,senior
105,41.95,,United States,,USA,1,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1223,4x100-metres-relay,relays,female,senior
105,41.95,,Bahamas,,BAH,1,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1223,4x100-metres-relay,relays,female,senior
108,41.96,,United States,,USA,1h2,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1223,4x100-metres-relay,relays,female,senior
108,41.96,,United States,,USA,1,"Stade Louis II, Monaco (MON)",17 JUL 2015,1223,4x100-metres-relay,relays,female,senior
110,41.97,,German Democratic Republic,,GDR,1,Potsdam (GDR),28 AUG 1982,1222,4x100-metres-relay,relays,female,senior
110,41.97,,German Democratic Republic,,GDR,1,Leipzig (GER),27 JUL 1983,1222,4x100-metres-relay,relays,female,senior
110,41.97,,Great Britain & NI,,GBR,3,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1222,4x100-metres-relay,relays,female,senior
110,41.97,,Germany,,GER,3,"Stade de France, Paris (FRA)",09 AUG 2024,1222,4x100-metres-relay,relays,female,senior
114,41.98,,German Democratic Republic,,GDR,1,Dresden (GER),17 AUG 1986,1222,4x100-metres-relay,relays,female,senior
114,41.98,,United States,,USA,1,"Olympic Stadium, Seoul (KOR)",01 OCT 1988,1222,4x100-metres-relay,relays,female,senior
114,41.98,,United States,,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1222,4x100-metres-relay,relays,female,senior
117,41.99,,German Democratic Republic,,GDR,1,Karl Marx Stadt (GDR),09 JUL 1982,1221,4x100-metres-relay,relays,female,senior
117,41.99,,Jamaica,,JAM,2,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1221,4x100-metres-relay,relays,female,senior
117,41.99,,Great Britain & NI,,GBR,1h1,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1221,4x100-metres-relay,relays,female,senior
117,41.99,,USA White,,USA,2f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1221,4x100-metres-relay,relays,female,senior
121,42.00,,Soviet Union,,URS,2,Moskva (URS),17 AUG 1985,1221,4x100-metres-relay,relays,female,senior
121,42.00,,United States,,USA,1,"SGJ, Johannesburg (RSA)",13 SEP 1998,1221,4x100-metres-relay,relays,female,senior
121,42.00,,United States,,USA,1h2,"National Stadium, Beijing (CHN)",29 AUG 2015,1221,4x100-metres-relay,relays,female,senior
121,42.00,,Germany,,GER,1f1,Regensburg (GER),05 JUN 2016,1221,4x100-metres-relay,relays,female,senior
121,42.00,,Germany,,GER,1h2,"National Stadium, Tokyo (JPN)",05 AUG 2021,1221,4x100-metres-relay,relays,female,senior
121,42.00,,Texas,,INT,1,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1221,4x100-metres-relay,relays,female,senior
127,42.01,,Soviet Union,,URS,1sf1,"Olympic Stadium, Seoul (KOR)",01 OCT 1988,1221,4x100-metres-relay,relays,female,senior
127,42.01,,Jamaica,,JAM,2,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1221,4x100-metres-relay,relays,female,senior
127,42.01,,Empire Athletics,,USA,1,"Percy Beard Track, Gainesville, FL (USA)",01 APR 2023,1221,4x100-metres-relay,relays,female,senior
130,42.02,,Netherlands,,NED,1f2,"Estadio Vallehermoso, Madrid (ESP)",28 JUN 2025,1220,4x100-metres-relay,relays,female,senior
131,42.03,,United States,,USA,1h1,"Stade de France, Paris-St-Denis (FRA)",29 AUG 2003,1220,4x100-metres-relay,relays,female,senior
131,42.03,,Trinidad and Tobago,,TTO,3,"National Stadium, Beijing (CHN)",29 AUG 2015,1220,4x100-metres-relay,relays,female,senior
131,42.03,,Germany,,GER,3,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1220,4x100-metres-relay,relays,female,senior
131,42.03,,Team International,,INT,1f2,"Hilmer Lodge Stadium, Walnut, CA (USA)",20 APR 2024,1220,4x100-metres-relay,relays,female,senior
131,42.03,,Great Britain & NI,,GBR,1h2,"Stade de France, Paris (FRA)",08 AUG 2024,1220,4x100-metres-relay,relays,female,senior
131,42.03,,Great Britain & NI,,GBR,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1220,4x100-metres-relay,relays,female,senior
137,42.04,,France,,FRA,1h3,"Stade de France, Paris-St-Denis (FRA)",29 AUG 2003,1219,4x100-metres-relay,relays,female,senior
137,42.04,,Ukraine,,UKR,3,"Olympic Stadium, London (GBR)",10 AUG 2012,1219,4x100-metres-relay,relays,female,senior
137,42.04,,Netherlands,,NED,1,"Olympisch Stadion, Amsterdam (NED)",10 JUL 2016,1219,4x100-metres-relay,relays,female,senior
140,42.05,,Louisiana State,,USA,1f2,"Knoxville, TN (USA)",13 MAY 2018,1219,4x100-metres-relay,relays,female,senior
140,42.05,,Switzerland,,SUI,2h2,"National Stadium, Tokyo (JPN)",05 AUG 2021,1219,4x100-metres-relay,relays,female,senior
142,42.06,,United States,,USA,1,"New York, NY (USA)",22 JUL 1998,1218,4x100-metres-relay,relays,female,senior
142,42.06,,France,,FRA,2,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1218,4x100-metres-relay,relays,female,senior
142,42.06,,Jamaica,,JAM,1,"Olympiastadion, Berlin (GER)",22 AUG 2009,1218,4x100-metres-relay,relays,female,senior
145,42.08,,United States Blue,,USA,2,"Olympiastadion, Berlin (GER)",21 AUG 1987,1217,4x100-metres-relay,relays,female,senior
145,42.08,,Switzerland,,SUI,4,"National Stadium, Tokyo (JPN)",06 AUG 2021,1217,4x100-metres-relay,relays,female,senior
147,42.09,,German Democratic Republic,,GDR,1,Torino (ITA),04 AUG 1979,1217,4x100-metres-relay,relays,female,senior
147,42.09,,German Democratic Republic,,GDR,1,Berlin (GER),09 JUL 1980,1217,4x100-metres-relay,relays,female,senior
147,42.09,,German Democratic Republic,,GDR,2,"Olympic Stadium, Seoul (KOR)",01 OCT 1988,1217,4x100-metres-relay,relays,female,senior
147,42.09,,Louisiana State,,USA,1h1,"Eugene, OR (USA)",07 JUN 2018,1217,4x100-metres-relay,relays,female,senior
151,42.10,,German Democratic Republic,,GDR,1,Karl Marx Stadt (GDR),10 JUN 1979,1217,4x100-metres-relay,relays,female,senior
151,42.10,,Soviet Union,,URS,2,"Lenin Stadium, Moskva (URS)",01 AUG 1980,1217,4x100-metres-relay,relays,female,senior
151,42.10,,Jamaica,,JAM,2,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1217,4x100-metres-relay,relays,female,senior
151,42.10,,Great Britain & NI,,GBR,4,"National Stadium, Beijing (CHN)",29 AUG 2015,1217,4x100-metres-relay,relays,female,senior
151,42.10,,Germany,,GER,4,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1217,4x100-metres-relay,relays,female,senior
151,42.10,,United States,,USA,3,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1217,4x100-metres-relay,relays,female,senior
151,42.10,,USA Stars,,USA,2,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1217,4x100-metres-relay,relays,female,senior
151,42.10,,France,,FRA,2,"Olympic Stadium, London (GBR)",20 JUL 2024,1217,4x100-metres-relay,relays,female,senior
159,42.11,,United States,,USA,1,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1216,4x100-metres-relay,relays,female,senior
159,42.11,,Americas,,UND,1,Ostrava (CZE),08 SEP 2018,1216,4x100-metres-relay,relays,female,senior
159,42.11,,Jamaica,,JAM,1h2,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1216,4x100-metres-relay,relays,female,senior
159,42.11,,Spain,,ESP,2f2,"Estadio Vallehermoso, Madrid (ESP)",28 JUN 2025,1216,4x100-metres-relay,relays,female,senior
163,42.12,,United States,,USA,1sf2,"Olympic Stadium, Seoul (KOR)",01 OCT 1988,1216,4x100-metres-relay,relays,female,senior
163,42.12,,United States,,USA,1,"Ullevi Stadium, Göteborg (SWE)",13 AUG 1995,1216,4x100-metres-relay,relays,female,senior
163,42.12,,Russia,,RUS,1h2,"Olympic Stadium, Athina (GRE)",26 AUG 2004,1216,4x100-metres-relay,relays,female,senior
163,42.12,,Trinidad and Tobago,,TTO,5,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1216,4x100-metres-relay,relays,female,senior
163,42.12,,Oregon,,USA,1f2,"Torrance, CA (USA)",15 APR 2017,1216,4x100-metres-relay,relays,female,senior
163,42.12,,Louisiana State,,USA,1,"Baton Rouge, LA (USA)",29 APR 2017,1216,4x100-metres-relay,relays,female,senior
163,42.12,,Great Britain & NI,,GBR,2,"Olympic Stadium, London (GBR)",12 AUG 2017,1216,4x100-metres-relay,relays,female,senior
163,42.12,,Germany,,GER,5,"National Stadium, Tokyo (JPN)",06 AUG 2021,1216,4x100-metres-relay,relays,female,senior
163,42.12,,USA Red,,USA,3,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1216,4x100-metres-relay,relays,female,senior
172,42.13,,German Democratic Republic,,GDR,1h1,"Neckarstadion, Stuttgart (GER)",30 AUG 1986,1215,4x100-metres-relay,relays,female,senior
172,42.13,,United States,,USA,1,"Stade Louis II, Monaco (MON)",18 AUG 2000,1215,4x100-metres-relay,relays,female,senior
172,42.13,,Jamaica,,JAM,2,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1215,4x100-metres-relay,relays,female,senior
172,42.13,,Switzerland,,SUI,1,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1215,4x100-metres-relay,relays,female,senior
172,42.13,,France,,FRA,2h2,"Stade de France, Paris (FRA)",08 AUG 2024,1215,4x100-metres-relay,relays,female,senior
177,42.14,,Bahamas,,BAH,2,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1215,4x100-metres-relay,relays,female,senior
177,42.14,,Jamaica,,JAM,1f1,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1215,4x100-metres-relay,relays,female,senior
177,42.14,,Louisiana State,,USA,2f2,"Torrance, CA (USA)",15 APR 2017,1215,4x100-metres-relay,relays,female,senior
177,42.14,,Italy,,ITA,3h2,"Nemzeti Atlétikai Központ, Budapest (HUN)",25 AUG 2023,1215,4x100-metres-relay,relays,female,senior
