rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
91,2:58.68,,United States,,USA,12,"Tianhe Sports Center, Guangzhou (CHN)",11 MAY 2025,1218,4x400-metres-relay,relays,male,senior
94,2:58.69,,Jamaica,,JAM,3h2,"National Stadium, Beijing (CHN)",29 AUG 2015,1218,4x400-metres-relay,relays,male,senior
95,2:58.71,,United States Blue,,USA,1,"Philadelphia, PA (USA)",29 APR 2000,1217,4x400-metres-relay,relays,male,senior
95,2:58.71,,United States,,USA,1,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1217,4x400-metres-relay,relays,male,senior
95,2:58.71,,Great Britain & NI,,GBR,3,"Nemzeti Atlétikai Központ, Budapest (HUN)",27 AUG 2023,1217,4x400-metres-relay,relays,male,senior
98,2:58.72,,United States,,USA,1h2,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1217,4x400-metres-relay,relays,male,senior
98,2:58.72,,Belgium,,BEL,3,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1217,4x400-metres-relay,relays,male,senior
100,2:58.76,,Jamaica,,JAM,6,"National Stadium, Tokyo (JPN)",07 AUG 2021,1217,4x400-metres-relay,relays,male,senior
101,2:58.78,,Jamaica,,JAM,2,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1216,4x400-metres-relay,relays,male,senior
101,2:58.78,,Belgium,,BEL,3,"Khalifa International Stadium, Doha (QAT)",06 OCT 2019,1216,4x400-metres-relay,relays,male,senior
103,2:58.79,,Great Britain & NI,,GBR,1,"Letzigrund, Zürich (SUI)",17 AUG 2014,1216,4x400-metres-relay,relays,male,senior
104,2:58.80,,France,,FRA,4f1,"Tianhe Sports Center, Guangzhou (CHN)",11 MAY 2025,1216,4x400-metres-relay,relays,male,senior
105,2:58.81,,Great Britain & NI,,GBR,3,"National Stadium, Beijing (CHN)",23 AUG 2008,1216,4x400-metres-relay,relays,male,senior
105,2:58.81,,Italy,,ITA,7,"National Stadium, Tokyo (JPN)",07 AUG 2021,1216,4x400-metres-relay,relays,male,senior
105,2:58.81,,South Africa,,RSA,1h1,"National Stadium, Tokyo (JPN)",20 SEP 2025,1216,4x400-metres-relay,relays,male,senior
108,2:58.82,,Great Britain & NI,,GBR,4,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1216,4x400-metres-relay,relays,male,senior
108,2:58.82,,United States,,USA,1h1,"DS, Daegu (KOR)",01 SEP 2011,1216,4x400-metres-relay,relays,male,senior
108,2:58.82,,Georgia,,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1216,4x400-metres-relay,relays,male,senior
111,2:58.83,,United States U23,,USA,1,"Miramar, FL (USA)",11 JUL 2010,1215,4x400-metres-relay,relays,male,senior
111,2:58.83,,Arkansas,,USA,2,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1215,4x400-metres-relay,relays,male,senior
113,2:58.84,,Jamaica,,JAM,1sf1,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1215,4x400-metres-relay,relays,male,senior
114,2:58.86,,Great Britain & NI,,GBR,2,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1215,4x400-metres-relay,relays,male,senior
115,2:58.87,,Bahamas,,BAH,1h2,"Olympic Stadium, London (GBR)",09 AUG 2012,1215,4x400-metres-relay,relays,male,senior
115,2:58.87,,United States,,USA,2h2,"Olympic Stadium, London (GBR)",09 AUG 2012,1215,4x400-metres-relay,relays,male,senior
117,2:58.88,,Poland,,POL,2,"Népstadion, Budapest (HUN)",23 AUG 1998,1215,4x400-metres-relay,relays,male,senior
117,2:58.88,,Florida,,USA,1,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1215,4x400-metres-relay,relays,male,senior
117,2:58.88,,Great Britain & NI,,GBR,2h1,"Stade de France, Paris (FRA)",09 AUG 2024,1215,4x400-metres-relay,relays,male,senior
120,2:58.91,,Poland,,POL,1,"La Cartuja, Sevilla (ESP)",29 AUG 1999,1214,4x400-metres-relay,relays,male,senior
120,2:58.91,,Bahamas,,BAH,2f1,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1214,4x400-metres-relay,relays,male,senior
120,2:58.91,,Italy,,ITA,4h1,"National Stadium, Tokyo (JPN)",06 AUG 2021,1214,4x400-metres-relay,relays,male,senior
123,2:58.92,,Jamaica,,JAM,2,"Philadelphia, PA (USA)",29 APR 2000,1214,4x400-metres-relay,relays,male,senior
124,2:58.96,,France,,FRA,1,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1213,4x400-metres-relay,relays,male,senior
124,2:58.96,,United States,,USA,1h1,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1213,4x400-metres-relay,relays,male,senior
126,2:58.98,,Florida,,INT,3,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1213,4x400-metres-relay,relays,male,senior
127,2:59.00,,Americas,,INT,1,"Poljud Stadion, Split (CRO)",05 SEP 2010,1213,4x400-metres-relay,relays,male,senior
