rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
92,17:39.23,,Indiana,,USA,9,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1119,4x1500-metres-relay,relays,female,senior
93,17:39.25,,Michigan State,,USA,10,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1119,4x1500-metres-relay,relays,female,senior
94,17:39.26,,Villanova,,INT,1,"Philadelphia, PA (USA)",26 APR 2019,1119,4x1500-metres-relay,relays,female,senior
95,17:39.43,,Brigham Young University,,UND,2,"Philadelphia, PA (USA)",23 APR 1999,1119,4x1500-metres-relay,relays,female,senior
96,17:39.52,,UC Irvine,,INT,3,"Philadelphia, PA (USA)",26 APR 1991,1119,4x1500-metres-relay,relays,female,senior
97,17:39.72,,Wake Forest,,USA,3,"Philadelphia, PA (USA)",23 APR 1999,1118,4x1500-metres-relay,relays,female,senior
98,17:39.78,,Oregon,,INT,3,"Philadelphia, PA (USA)",28 APR 2017,1118,4x1500-metres-relay,relays,female,senior
99,17:39.82,,Indiana,,USA,4,"Philadelphia, PA (USA)",28 APR 2017,1118,4x1500-metres-relay,relays,female,senior
100,17:40.30,,Wisconsin,,USA,1,"Philadelphia, PA (USA)",24 APR 1998,1117,4x1500-metres-relay,relays,female,senior
101,17:40.43,,Michigan,,INT,2,"Philadelphia, PA (USA)",29 APR 1994,1117,4x1500-metres-relay,relays,female,senior
102,17:40.99,,Georgetown,,USA,2,"Philadelphia, PA (USA)",27 APR 2012,1116,4x1500-metres-relay,relays,female,senior
103,17:41.0h,,British Milers Club,,GBR,1,Watford (GBR),30 APR 1997,1116,4x1500-metres-relay,relays,female,senior
104,17:41.05,,Arkansas,,INT,4,"Philadelphia, PA (USA)",23 APR 1999,1116,4x1500-metres-relay,relays,female,senior
104,17:41.05,,Brigham Young University,,USA,2,"Philadelphia, PA (USA)",27 APR 2007,1116,4x1500-metres-relay,relays,female,senior
106,17:41.12,,Villanova,,INT,3,"Philadelphia, PA (USA)",27 APR 2012,1115,4x1500-metres-relay,relays,female,senior
107,17:41.62,,Georgetown,,INT,3,"Philadelphia, PA (USA)",24 APR 1997,1115,4x1500-metres-relay,relays,female,senior
108,17:41.74,,Novosibirsk Region,,RUS,3,"Yunost Stadium, Adler, Sochi (RUS)",07 SEP 2013,1114,4x1500-metres-relay,relays,female,senior
109,17:42.13,,Villanova,,INT,2,"Philadelphia, PA (USA)",29 APR 2005,1114,4x1500-metres-relay,relays,female,senior
110,17:42.40,,Georgetown,,USA,3,"Philadelphia, PA (USA)",26 APR 1996,1113,4x1500-metres-relay,relays,female,senior
111,17:42.54,,Reebok Enclave,,INT,1f1,"Raleigh, NC (USA)",27 MAR 1998,1113,4x1500-metres-relay,relays,female,senior
112,17:43.14,,Stanford,,USA,4,"Philadelphia, PA (USA)",24 APR 1997,1112,4x1500-metres-relay,relays,female,senior
113,17:43.33,,Villanova,,USA,1,"Philadelphia, PA (USA)",24 APR 1992,1111,4x1500-metres-relay,relays,female,senior
114,17:43.34,,Kentucky,,USA,5,"Philadelphia, PA (USA)",23 APR 2004,1111,4x1500-metres-relay,relays,female,senior
115,17:43.39,,Wisconsin,,INT,2,"Philadelphia, PA (USA)",28 APR 1989,1111,4x1500-metres-relay,relays,female,senior
115,17:43.39,,G.S. Forestale,,ITA,1,Rieti (ITA),03 SEP 1995,1111,4x1500-metres-relay,relays,female,senior
117,17:44.29,,Villanova,,INT,1,"Philadelphia, PA (USA)",29 APR 2016,1109,4x1500-metres-relay,relays,female,senior
118,17:44.52,,Georgetown,,USA,3,"Philadelphia, PA (USA)",27 APR 2007,1109,4x1500-metres-relay,relays,female,senior
119,17:44.57,,Michigan,,USA,1,"Raleigh, NC (USA)",30 MAR 2013,1109,4x1500-metres-relay,relays,female,senior
120,17:44.67,,Oregon,,INT,2,"Philadelphia, PA (USA)",29 APR 2016,1109,4x1500-metres-relay,relays,female,senior
121,17:44.71,,Moskva,,RUS,1,Sochi (RUS),19 SEP 2010,1109,4x1500-metres-relay,relays,female,senior
122,17:44.83,,Friar Track Club,,INT,1,"Raleigh, NC (USA)",26 MAR 2004,1108,4x1500-metres-relay,relays,female,senior
123,17:44.95,,Dartmouth College,,USA,4,"Philadelphia, PA (USA)",27 APR 2012,1108,4x1500-metres-relay,relays,female,senior
