rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat
77,2:09.03,,Canada U18,,CAN,4f1,Sherbrooke (CAN),13 JUL 2003,,medley-relay,relays,female,u18
78,2:09.05,,Poland U18,,POL,4f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,female,u18
79,2:09.06,,Estonia U18,,EST,4,"Atletski stadion Poljane, Maribor (SLO)",29 JUL 2023,,medley-relay,relays,female,u18
80,2:09.08,,Australia U18,,AUS,2h2,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,female,u18
80,2:09.08,,Canada U18,,CAN,3f1,Ostrava (CZE),15 JUL 2007,,medley-relay,relays,female,u18
80,2:09.08,,Poland U18,,POL,2,"Sports Stadium CESA VUT, Brno (CZE)",29 JUN 2025,,medley-relay,relays,female,u18
83,2:09.12,,Czech Republic U18,,CZE,3h1,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,female,u18
84,2:09.13,,Brazil U18,,BRA,1h2,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,female,u18
85,2:09.15,,Switzerland U18,,SUI,1h2,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
86,2:09.16,,Greece U18,,GRE,2,Baku (AZE),27 JUL 2019,,medley-relay,relays,female,u18
87,2:09.19,,Poland U18,,POL,2f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",18 JUL 1999,,medley-relay,relays,female,u18
88,2:09.20,,Ireland U18,,IRL,1h2,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,female,u18
89,2:09.22,,Hungary U18,,HUN,2f1,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,,medley-relay,relays,female,u18
90,2:09.24,,Canada U18,,CAN,1h1,Sherbrooke (CAN),12 JUL 2003,,medley-relay,relays,female,u18
91,2:09.25,,Romania U18,,ROU,3f1,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,,medley-relay,relays,female,u18
92,2:09.27,,Canada U18,,CAN,1h1,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,female,u18
93,2:09.28,,Norway U18,,NOR,3h3,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,female,u18
94,2:09.32,,Hungary U18,,HUN,6,Donetsk (UKR),14 JUL 2013,,medley-relay,relays,female,u18
94,2:09.32,,Finland U18,,FIN,2h3,"Givat Ram Stadium, Jerusalem (ISR)",06 JUL 2022,,medley-relay,relays,female,u18
96,2:09.33,,Bahamas U18,,BAH,4f1,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,,medley-relay,relays,female,u18
96,2:09.33,,Italy U18,,ITA,2h2,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
98,2:09.36,,United States U18,,USA,1h2,Debrecen (HUN),14 JUL 2001,,medley-relay,relays,female,u18
99,2:09.39,,United States U18,,USA,1h3,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
100,2:09.41,,Czech Republic U18,,CZE,2,"Olimpiai Sportpark, Győr (HUN)",08 JUL 2018,,medley-relay,relays,female,u18
101,2:09.42,,Russia U18,,RUS,5f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",17 JUL 2005,,medley-relay,relays,female,u18
102,2:09.43,,Greece U18,,GRE,2h3,Baku (AZE),26 JUL 2019,,medley-relay,relays,female,u18
103,2:09.61,,Hungary U18,,HUN,1,Hradec Králové (CZE),08 JUN 2013,,medley-relay,relays,female,u18
103,2:09.61,,Belarus U18,,BLR,4,"New District Stadium, Tbilisi (GEO)",17 JUL 2016,,medley-relay,relays,female,u18
105,2:09.68,,Hungary U18,,HUN,2h1,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,female,u18
106,2:09.70,,Romania U18,,ROU,3,Debrecen (HUN),15 JUL 2001,,medley-relay,relays,female,u18
107,2:09.72,,Japan U18,,JPN,2h1,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,female,u18
108,2:09.73,,France U18,,FRA,1h1,Baku (AZE),26 JUL 2019,,medley-relay,relays,female,u18
109,2:09.76,,Norway U18,,NOR,5,"Atletski stadion Poljane, Maribor (SLO)",29 JUL 2023,,medley-relay,relays,female,u18
110,2:09.79,,Jamaica U18,,JAM,5f1,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,,medley-relay,relays,female,u18
111,2:09.80,,Norway U18,,NOR,3h2,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
112,2:09.84,,Trinidad and Tobago,,TTO,2h1,Sherbrooke (CAN),12 JUL 2003,,medley-relay,relays,female,u18
113,2:09.87,,Germany U18,,GER,2h2,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,female,u18
114,2:09.90,,PR of China U18,,CHN,2h3,Donetsk (UKR),13 JUL 2013,,medley-relay,relays,female,u18
115,2:09.96,,Australia U18,,AUS,4f1,Ostrava (CZE),15 JUL 2007,,medley-relay,relays,female,u18
116,2:09.99,,Romania U18,,ROU,3,"Olimpiai Sportpark, Győr (HUN)",08 JUL 2018,,medley-relay,relays,female,u18
117,2:10.01,,Poland U18,,POL,6f1,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,,medley-relay,relays,female,u18
118,2:10.04,,Poland U18,,POL,2h2,"Sidi Youssef Ben Ali, Marrakech (MAR)",16 JUL 2005,,medley-relay,relays,female,u18
118,2:10.04,,Estonia U18,,EST,4h3,"Atletski stadion Poljane, Maribor (SLO)",28 JUL 2023,,medley-relay,relays,female,u18
118,2:10.04,,Portugal U18,,POR,2h2,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,female,u18
121,2:10.07,,Germany U18,,GER,6,"Atletski stadion Poljane, Maribor (SLO)",29 JUL 2023,,medley-relay,relays,female,u18
122,2:10.08,,Canada U18,,CAN,7f1,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,,medley-relay,relays,female,u18
123,2:10.12,,Bahamas U18,,BAH,1h3,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,female,u18
124,2:10.13,,Canada U18,,CAN,1h3,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,female,u18
125,2:10.16,,Italy U18,,ITA,1h1,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,female,u18
126,2:10.17,,Romania U18,,ROU,6,Lille (FRA),10 JUL 2011,,medley-relay,relays,female,u18
126,2:10.17,,Italy U18,,ITA,2h1,Baku (AZE),26 JUL 2019,,medley-relay,relays,female,u18
128,2:10.18,,India U18,,IND,5f1,Ostrava (CZE),15 JUL 2007,,medley-relay,relays,female,u18
128,2:10.18,,Germany U18,,GER,3h1,Baku (AZE),26 JUL 2019,,medley-relay,relays,female,u18
130,2:10.19,,United States U18,,USA,1h3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",17 JUL 1999,,medley-relay,relays,female,u18
131,2:10.20,,Great Britain & NI U18,,GBR,1h1,Banská Bystrica (SVK),20 JUL 2024,,medley-relay,relays,female,u18
132,2:10.23,,Portugal U18,,POR,7,"Athletic track of National Arena Philip II, Skopje (MKD)",26 JUL 2025,,medley-relay,relays,female,u18
133,2:10.27,,Japan U18,,JPN,8f1,"Bressanone, Trentino-Alto Adige (ITA)",12 JUL 2009,,medley-relay,relays,female,u18
134,2:10.28,,Czechia U18,,CZE,3h3,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,female,u18
135,2:10.32,,Switzerland U18,,SUI,3,Baku (AZE),27 JUL 2019,,medley-relay,relays,female,u18
136,2:10.33,,Romania U18,,ROU,2h3,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
137,2:10.35,,Poland U18,,POL,7,Lille (FRA),10 JUL 2011,,medley-relay,relays,female,u18
138,2:10.38,,Italy U18,,ITA,1h3,"Olimpiai Sportpark, Győr (HUN)",07 JUL 2018,,medley-relay,relays,female,u18
138,2:10.38,,Italy U18,,ITA,4,Baku (AZE),27 JUL 2019,,medley-relay,relays,female,u18
138,2:10.38,,Spain U18,,ESP,1h2,"Givat Ram Stadium, Jerusalem (ISR)",06 JUL 2022,,medley-relay,relays,female,u18
141,2:10.39,,Czech Republic U18,,CZE,1,Brno (CZE),11 JUN 2016,,medley-relay,relays,female,u18
142,2:10.41,,Czech Republic U18,,CZE,2h2,"Givat Ram Stadium, Jerusalem (ISR)",06 JUL 2022,,medley-relay,relays,female,u18
143,2:10.42,,Romania U18,,ROU,3h2,"Givat Ram Stadium, Jerusalem (ISR)",06 JUL 2022,,medley-relay,relays,female,u18
144,2:10.45,,Switzerland U18,,SUI,1h2,Baku (AZE),26 JUL 2019,,medley-relay,relays,female,u18
145,2:10.46,,Hungary U18,,HUN,1,"Mestni stadion, Ptuj (SLO)",11 JUN 2023,,medley-relay,relays,female,u18
146,2:10.47,,Poland U18,,POL,1h1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",17 JUL 1999,,medley-relay,relays,female,u18
147,2:10.48,,Romania U18,,ROU,2h2,"Bressanone, Trentino-Alto Adige (ITA)",11 JUL 2009,,medley-relay,relays,female,u18
147,2:10.48,,South Africa U18,,RSA,3h3,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
149,2:10.50,,France U18,,FRA,3h2,"Athletic track of National Arena Philip II, Skopje (MKD)",25 JUL 2025,,medley-relay,relays,female,u18
150,2:10.53,,India U18,,IND,2h3,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,female,u18
151,2:10.54,,Ukraine U18,,UKR,1h3,Debrecen (HUN),14 JUL 2001,,medley-relay,relays,female,u18
151,2:10.54,,Japan U18,,JPN,4h3,Lille (FRA),09 JUL 2011,,medley-relay,relays,female,u18
153,2:10.55,,Czech Republic U18,,CZE,2,"Mestni stadion, Ptuj (SLO)",11 JUN 2023,,medley-relay,relays,female,u18
154,2:10.58,,Barbados U18,,BAR,3h3,Ostrava (CZE),14 JUL 2007,,medley-relay,relays,female,u18
155,2:10.62,,Hungary U18,,HUN,2,Brno (CZE),11 JUN 2016,,medley-relay,relays,female,u18
