rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
52,1:52.95,,Trinidad and Tobago U18,,TTO,1h2,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,male,u18,medley-relay,track,112.95,MAR,,2005
53,1:52.96,,India U18,,IND,2,Tashkent (UZB),2023-04-30,,medley-relay,relays,male,u18,medley-relay,track,112.96000000000001,UZB,,2023
54,1:52.97,,Bahamas U18,,BAH,5,Donetsk (UKR),2013-07-14,,medley-relay,relays,male,u18,medley-relay,track,112.97,UKR,,2013
55,1:53.01,,France U18,,FRA,1h3,Lille (FRA),2011-07-09,,medley-relay,relays,male,u18,medley-relay,track,113.00999999999999,FRA,,2011
55,1:53.01,,Italy U18,,ITA,1,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,male,u18,medley-relay,track,113.00999999999999,HUN,,2018
57,1:53.02,,Bahamas U18,,BAH,1h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,male,u18,medley-relay,track,113.02000000000001,CZE,,2007
58,1:53.05,,Poland U18,,POL,2h3,Lille (FRA),2011-07-09,,medley-relay,relays,male,u18,medley-relay,track,113.05,FRA,,2011
59,1:53.08,,Poland U18,,POL,2f1,Sherbrooke (CAN),2003-07-13,,medley-relay,relays,male,u18,medley-relay,track,113.08,CAN,,2003
60,1:53.11,,Japan U18,,JPN,3f1,Sherbrooke (CAN),2003-07-13,,medley-relay,relays,male,u18,medley-relay,track,113.11,CAN,,2003
61,1:53.16,,Poland U18,,POL,1h4,Debrecen (HUN),2001-07-14,,medley-relay,relays,male,u18,medley-relay,track,113.16,HUN,,2001
62,1:53.23,,South Africa U18,,RSA,3f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,male,u18,medley-relay,track,113.22999999999999,MAR,,2005
63,1:53.28,,Sudan U18,,SUD,2h1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,male,u18,medley-relay,track,113.28,MAR,,2005
64,1:53.32,,Trinidad and Tobago U18,,TTO,1h4,Lille (FRA),2011-07-09,,medley-relay,relays,male,u18,medley-relay,track,113.32,FRA,,2011
65,1:53.36,,Poland U18,,POL,6,Donetsk (UKR),2013-07-14,,medley-relay,relays,male,u18,medley-relay,track,113.36,UKR,,2013
65,1:53.36,,Norway U18,,NOR,2f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,medley-relay,relays,male,u18,medley-relay,track,113.36,ISR,,2022
67,1:53.38,,Bahamas U18,,BAH,2h2,Donetsk (UKR),2013-07-13,,medley-relay,relays,male,u18,medley-relay,track,113.38,UKR,,2013
68,1:53.39,,Bahamas U18,,BAH,4f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,male,u18,medley-relay,track,113.39,CZE,,2007
68,1:53.39,,Poland U18,,POL,1,Baku (AZE),2019-07-27,,medley-relay,relays,male,u18,medley-relay,track,113.39,AZE,,2019
70,1:53.40,,PR of China U18,,CHN,3,Tashkent (UZB),2023-04-30,,medley-relay,relays,male,u18,medley-relay,track,113.4,UZB,,2023
71,1:53.41,,Spain U18,,ESP,6f1,Banská Bystrica (SVK),2024-07-21,,medley-relay,relays,male,u18,medley-relay,track,113.41,SVK,,2024
72,1:53.43,,Puerto Rico U18,,PUR,1h3,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,male,u18,medley-relay,track,113.43,MAR,,2005
73,1:53.45,,Africa U18,,INT,4,Singapore (SGP),2010-08-23,,medley-relay,relays,male,u18,medley-relay,track,113.45,SGP,,2010
74,1:53.51,,New Zealand U18,,NZL,4,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,male,u18,medley-relay,track,113.50999999999999,ITA,,2009
74,1:53.51,,Canada U18,,CAN,5,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,male,u18,medley-relay,track,113.50999999999999,ITA,,2009
74,1:53.51,,Trinidad and Tobago U18,,TTO,5,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,male,u18,medley-relay,track,113.50999999999999,ITA,,2009
77,1:53.55,,France U18,,FRA,1h1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,male,u18,medley-relay,track,113.55,SLO,,2023
78,1:53.56,,Brazil U18,,BRA,5f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,male,u18,medley-relay,track,113.56,CZE,,2007
78,1:53.56,,Switzerland U18,,SUI,2,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,male,u18,medley-relay,track,113.56,SLO,,2023
80,1:53.57,,Hungary U18,,HUN,1,Trnava (SVK),2019-07-13,,medley-relay,relays,male,u18,medley-relay,track,113.57,SVK,,2019
80,1:53.57,,France U18,,FRA,1h3,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,male,u18,medley-relay,track,113.57,MKD,,2025
82,1:53.58,,Japan U18,,JPN,1h1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,male,u18,medley-relay,track,113.58,ITA,,2009
82,1:53.58,,Turkey U18,,TUR,2,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,medley-relay,relays,male,u18,medley-relay,track,113.58,MKD,,2025
84,1:53.59,,Brazil U18,,BRA,7,Lille (FRA),2011-07-10,,medley-relay,relays,male,u18,medley-relay,track,113.59,FRA,,2011
85,1:53.61,,Nigeria U18,,NGR,7,Donetsk (UKR),2013-07-14,,medley-relay,relays,male,u18,medley-relay,track,113.61,UKR,,2013
86,1:53.62,,Spain U18,,ESP,2,"New District Stadium, Tbilisi (GEO)",2016-07-17,,medley-relay,relays,male,u18,medley-relay,track,113.62,GEO,,2016
