rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
118,2:10.04,,Portugal U18,,POR,2h2,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,female,u18,medley-relay,track,130.04,MKD,,2025
118,2:10.04,,Estonia U18,,EST,4h3,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,130.04,SLO,,2023
118,2:10.04,,Poland U18,,POL,2h2,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,130.04,MAR,,2005
121,2:10.07,,Germany U18,,GER,6,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,female,u18,medley-relay,track,130.07,SLO,,2023
122,2:10.08,,Canada U18,,CAN,7f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,130.08,ITA,,2009
123,2:10.12,,Bahamas U18,,BAH,1h3,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,130.12,ITA,,2009
124,2:10.13,,Canada U18,,CAN,1h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.13,CZE,,2007
125,2:10.16,,Italy U18,,ITA,1h1,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,female,u18,medley-relay,track,130.16,MKD,,2025
126,2:10.17,,Romania U18,,ROU,6,Lille (FRA),2011-07-10,,medley-relay,relays,female,u18,medley-relay,track,130.17,FRA,,2011
126,2:10.17,,Italy U18,,ITA,2h1,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,130.17,AZE,,2019
128,2:10.18,,India U18,,IND,5f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,female,u18,medley-relay,track,130.18,CZE,,2007
128,2:10.18,,Germany U18,,GER,3h1,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,130.18,AZE,,2019
130,2:10.19,,United States U18,,USA,1h3,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-17,,medley-relay,relays,female,u18,medley-relay,track,130.19,POL,,1999
131,2:10.20,,Great Britain & NI U18,,GBR,1h1,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,130.2,SVK,,2024
132,2:10.23,,Portugal U18,,POR,7,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-26,,medley-relay,relays,female,u18,medley-relay,track,130.23,MKD,,2025
133,2:10.27,,Japan U18,,JPN,8f1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-12,,medley-relay,relays,female,u18,medley-relay,track,130.27,ITA,,2009
134,2:10.28,,Czechia U18,,CZE,3h3,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,female,u18,medley-relay,track,130.28,MKD,,2025
135,2:10.32,,Switzerland U18,,SUI,3,Baku (AZE),2019-07-27,,medley-relay,relays,female,u18,medley-relay,track,130.32,AZE,,2019
136,2:10.33,,Romania U18,,ROU,2h3,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,130.33,FRA,,2011
137,2:10.35,,Poland U18,,POL,7,Lille (FRA),2011-07-10,,medley-relay,relays,female,u18,medley-relay,track,130.35,FRA,,2011
138,2:10.38,,Italy U18,,ITA,4,Baku (AZE),2019-07-27,,medley-relay,relays,female,u18,medley-relay,track,130.38,AZE,,2019
138,2:10.38,,Italy U18,,ITA,1h3,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,130.38,HUN,,2018
138,2:10.38,,Spain U18,,ESP,1h2,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,130.38,ISR,,2022
141,2:10.39,,Czech Republic U18,,CZE,1,Brno (CZE),2016-06-11,,medley-relay,relays,female,u18,medley-relay,track,130.39,CZE,,2016
142,2:10.41,,Czech Republic U18,,CZE,2h2,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,130.41,ISR,,2022
143,2:10.42,,Romania U18,,ROU,3h2,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,130.42,ISR,,2022
144,2:10.45,,Switzerland U18,,SUI,1h2,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,130.45,AZE,,2019
145,2:10.46,,Hungary U18,,HUN,1,"Mestni stadion, Ptuj (SLO)",2023-06-11,,medley-relay,relays,female,u18,medley-relay,track,130.46,SLO,,2023
146,2:10.47,,Poland U18,,POL,1h1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-17,,medley-relay,relays,female,u18,medley-relay,track,130.47,POL,,1999
147,2:10.48,,Romania U18,,ROU,2h2,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,130.48,ITA,,2009
147,2:10.48,,South Africa U18,,RSA,3h3,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,130.48,FRA,,2011
149,2:10.50,,France U18,,FRA,3h2,"Athletic track of National Arena Philip II, Skopje (MKD)",2025-07-25,,medley-relay,relays,female,u18,medley-relay,track,130.5,MKD,,2025
150,2:10.53,,India U18,,IND,2h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.53,CZE,,2007
151,2:10.54,,Ukraine U18,,UKR,1h3,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.54,HUN,,2001
151,2:10.54,,Japan U18,,JPN,4h3,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,130.54,FRA,,2011
153,2:10.55,,Czech Republic U18,,CZE,2,"Mestni stadion, Ptuj (SLO)",2023-06-11,,medley-relay,relays,female,u18,medley-relay,track,130.55,SLO,,2023
154,2:10.58,,Barbados U18,,BAR,3h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.58,CZE,,2007
155,2:10.62,,Hungary U18,,HUN,2,Brno (CZE),2016-06-11,,medley-relay,relays,female,u18,medley-relay,track,130.62,CZE,,2016
156,2:10.64,,Slovenia U18,,SLO,5,"New District Stadium, Tbilisi (GEO)",2016-07-17,,medley-relay,relays,female,u18,medley-relay,track,130.64,GEO,,2016
156,2:10.64,,Italy U18,,ITA,7,Donetsk (UKR),2013-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.64,UKR,,2013
158,2:10.65,,Sunshine Youth Sports Club,,CHN,1,"Shanxi Sports Center Stadium, Taiyuan (CHN)",2019-08-16,,medley-relay,relays,female,u18,medley-relay,track,130.65,CHN,,2019
159,2:10.66,,Japan U18,,JPN,6f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,female,u18,medley-relay,track,130.66,MAR,,2005
160,2:10.68,,Czech Republic U18,,CZE,1,"Štadión PFK, Piešťany (SVK)",2024-07-05,,medley-relay,relays,female,u18,medley-relay,track,130.68,SVK,,2024
161,2:10.72,,Jamaica U18,,JAM,2h3,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,130.72,ITA,,2009
161,2:10.72,,Poland U18,,POL,4f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,medley-relay,relays,female,u18,medley-relay,track,130.72,ISR,,2022
163,2:10.74,,Spain U18,,ESP,1h1,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,130.74,SLO,,2023
163,2:10.74,,Spain U18,,ESP,7,"Atletski stadion Poljane, Maribor (SLO)",2023-07-29,,medley-relay,relays,female,u18,medley-relay,track,130.74,SLO,,2023
165,2:10.75,,Norway U18,,NOR,3h3,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,130.75,AZE,,2019
166,2:10.76,,South Africa U18,,RSA,8,Lille (FRA),2011-07-10,,medley-relay,relays,female,u18,medley-relay,track,130.76,FRA,,2011
167,2:10.79,,Jamaica U18,,JAM,3h1,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,female,u18,medley-relay,track,130.79,CAN,,2003
167,2:10.79,,Brazil U18,,BRA,4h2,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,130.79,FRA,,2011
169,2:10.80,,Hungary U18,,HUN,2,"Štadión PFK, Piešťany (SVK)",2024-07-05,,medley-relay,relays,female,u18,medley-relay,track,130.8,SVK,,2024
170,2:10.83,,Italy U18,,ITA,3h1,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,130.83,FRA,,2011
171,2:10.85,,Hungary U18,,HUN,3h3,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,130.85,UKR,,2013
171,2:10.85,,Portugal U18,,POR,4,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,130.85,HUN,,2018
171,2:10.85,,Czech Republic U18,,CZE,1,Budapest (HUN),2014-07-04,,medley-relay,relays,female,u18,medley-relay,track,130.85,HUN,,2014
174,2:10.93,,Romania U18,,ROU,7f1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-17,,medley-relay,relays,female,u18,medley-relay,track,130.93,MAR,,2005
175,2:10.94,,Romania U18,,ROU,1h1,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,130.94,HUN,,2001
176,2:10.97,,Slovenia U18,,SLO,5f1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-07,,medley-relay,relays,female,u18,medley-relay,track,130.97,ISR,,2022
177,2:11.02,,Portugal U18,,POR,1h1,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,131.02,HUN,,2018
178,2:11.04,,Ukraine U18,,UKR,5,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,131.04,HUN,,2018
178,2:11.04,,Poland U18,,POL,1h1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,131.04,ISR,,2022
180,2:11.05,,Jamaica U18,,JAM,1h4,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,131.05,HUN,,2001
181,2:11.07,,Belarus U18,,BLR,1h3,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,female,u18,medley-relay,track,131.07,GEO,,2016
182,2:11.10,,Bahamas U18,,BAH,4h1,Lille (FRA),2011-07-09,,medley-relay,relays,female,u18,medley-relay,track,131.1,FRA,,2011
183,2:11.11,,Japan U18,,JPN,3h3,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,131.11,ITA,,2009
184,2:11.13,,Ukraine U18,,UKR,3f1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-18,,medley-relay,relays,female,u18,medley-relay,track,131.13,POL,,1999
184,2:11.13,,Ukraine U18,,UKR,4,Debrecen (HUN),2001-07-15,,medley-relay,relays,female,u18,medley-relay,track,131.13,HUN,,2001
186,2:11.20,,Brazil U18,,BRA,4h1,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,131.2,UKR,,2013
186,2:11.20,,Italy U18,,ITA,2h1,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,131.2,ISR,,2022
188,2:11.21,,Norway U18,,NOR,5,Baku (AZE),2019-07-27,,medley-relay,relays,female,u18,medley-relay,track,131.21,AZE,,2019
188,2:11.21,,India U18,,IND,1,Tashkent (UZB),2023-04-30,,medley-relay,relays,female,u18,medley-relay,track,131.21,UZB,,2023
188,2:11.21,,Poland U18,,POL,3h1,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,131.21,ITA,,2009
191,2:11.22,,Estonia U18,,EST,4h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,131.22,SVK,,2024
191,2:11.22,,Switzerland U18,,SUI,2h3,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,female,u18,medley-relay,track,131.22,GEO,,2016
191,2:11.22,,Poland U18,,POL,1h2,"New District Stadium, Tbilisi (GEO)",2016-07-16,,medley-relay,relays,female,u18,medley-relay,track,131.22,GEO,,2016
191,2:11.22,,Spain U18,,ESP,2h1,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,131.22,SVK,,2024
195,2:11.24,,Slovenia U18,,SLO,3,Brno (CZE),2016-06-11,,medley-relay,relays,female,u18,medley-relay,track,131.24,CZE,,2016
195,2:11.24,,Ireland U18,,IRL,5h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,131.24,SVK,,2024
197,2:11.25,,Italy U18,,ITA,2h2,Donetsk (UKR),2013-07-13,,medley-relay,relays,female,u18,medley-relay,track,131.25,UKR,,2013
