rank,mark,wind,competitor,dob,nationality,position,venue,date,result_score,discipline,type,sex,age_cat,normalized_discipline,track_field,mark_numeric,venue_country,age_at_event,season
44,41.69,,Great Britain & NI,,GBR,1,"Olympic Stadium, London (GBR)",2025-07-19,1235,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.69,GBR,,2025
46,41.7,,Jamaica,,JAM,2,"DS, Daegu (KOR)",2011-09-04,1234,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.7,KOR,,2011
46,41.7,,Jamaica,,JAM,1h1,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1234,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.7,HUN,,2023
48,41.73,,Jamaica,,JAM,1,"Olympic Stadium, Athina (GRE)",2004-08-27,1233,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.73,GRE,,2004
48,41.73,,German Democratic Republic,,GDR,1,Berlin (GER),1988-09-13,1233,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.73,GER,,1988
50,41.74,,USA Red,,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",2025-03-29,1232,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.74,USA,,2025
51,41.75,,United States,,USA,1,"National Stadium, Tokyo (JPN)",2025-09-21,1232,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.75,JPN,,2025
51,41.75,,USA GOLD,,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",2023-04-01,1232,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.75,USA,,2023
51,41.75,,United States Red,,USA,1,"Stade Louis II, Monaco (MON)",2013-07-19,1232,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.75,MON,,2013
54,41.76,,German Democratic Republic,,GDR,1,"Olympiastadion, Helsinki (FIN)",1983-08-10,1231,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.76,FIN,,1983
55,41.77,,United States,,USA,1h3,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1231,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.77,BRA,,2016
55,41.77,,Great Britain & NI,,GBR,3,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-19,1231,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.77,BRA,,2016
57,41.78,,France,,FRA,1,"Stade de France, Paris-St-Denis (FRA)",2003-08-30,1231,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.78,FRA,,2003
57,41.78,,Jamaica,,JAM,2,"Letzigrund, Zürich (SUI)",2013-08-29,1231,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.78,SUI,,2013
57,41.78,,United States Blue,,USA,2,"Stade Louis II, Monaco (MON)",2013-07-19,1231,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.78,MON,,2013
57,41.78,,United States,,USA,1,"Stade de France, Paris (FRA)",2024-08-09,1231,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.78,FRA,,2024
57,41.78,,United States,,USA,1,"Olympiastadion, Helsinki (FIN)",2005-08-13,1231,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.78,FIN,,2005
62,41.79,,German Democratic Republic,,GDR,1,Karl Marx Stadt (GDR),1987-06-20,1230,4x100-metres-relay,relays,female,senior,4x100-metres-relay,track,41.79,GDR,,1987
